workload,cycles,cache-misses,instructions,stalled-cycles-backend,branch-misses,context-switches,iTLB-load-misses,IpNReturn,IpMispredict,BpTkBranch
500.perlbench_r,1587986446552,7905969343,3330163148119,458500404482,4632243312,39394,2333566,91.64,718.25,1.99
500.perlbench_r,1596026715627,7945925537,3348941719512,460735656143,4665006391,39596,2358423,91.75,717.23,1.99
500.perlbench_r,1604079480634,7981442500,3368313466421,462965452862,4698083011,39797,2378628,91.87,716.3,1.99
500.perlbench_r,1612138154487,8022578064,3386801405918,465308197483,4731562957,39994,2403717,91.99,715.16,1.99
500.perlbench_r,1620169628017,8060015892,3405849709943,467620955949,4765269841,40201,2426189,92.11,714.09,1.99
500.perlbench_r,1628231296291,8099901684,3424640339352,469952237351,4798124991,40404,2451314,92.23,713.12,1.99
500.perlbench_r,1636312128658,8140116604,3443329401449,472284702638,4831226565,40606,2476997,92.35,712.11,1.99
500.perlbench_r,1644357704798,8178661777,3462197320468,474581686328,4864625426,40806,2501416,92.47,711.11,1.99
500.perlbench_r,1652430801500,8218533149,3480845039309,476949616587,4897959538,41007,2525455,92.59,710.08,1.99
500.perlbench_r,1660504450187,8257337758,3499757165095,479251520088,4930968696,41210,2548015,92.7,709.14,1.99
500.perlbench_r,1668577352987,8293289610,3518936265849,481548756501,4964967820,41413,2570421,92.83,708.15,1.99
500.perlbench_r,1676654047494,8333379386,3537471301065,483897290684,4998067059,41622,2595298,92.94,707.17,1.99
500.perlbench_r,1684726458335,8375785676,3555811481044,486222862988,5031621094,41825,2622331,93.04,706.11,1.99
500.perlbench_r,1691397141037,8402534442,3568354227757,487773062121,5053964217,41968,2640929,93.15,705.16,2
502.gcc_r,7978374461,112386681,12028534486,1791638754,39267892,205,159107,56.62,304.42,1.84
502.gcc_r,15914036770,258312394,21937574795,3361064067,105872676,402,953452,59.13,206.64,1.82
502.gcc_r,23919087781,363990176,33164277767,5666168296,143519971,599,1260891,58.23,232.91,1.83
502.gcc_r,31986046808,472362261,44775777836,7753116220,188573165,796,1486580,58.9,236.31,1.83
502.gcc_r,40001674678,602534677,55300756915,8653963740,268629643,994,2386214,59.82,207.01,1.82
502.gcc_r,48018519560,698983415,64213968609,12725510722,287999801,1192,2446619,60.67,223.83,1.84
502.gcc_r,56048626083,790446757,72079546511,17033593963,304156853,1390,2460224,61.3,237.92,1.84
502.gcc_r,64073346162,880295598,79950518764,21355688731,319264565,1589,2486638,61.99,252.15,1.84
502.gcc_r,72115979806,978685102,90902821162,24724964505,338130019,1783,2518239,60.67,269.35,1.85
502.gcc_r,80188293827,1095408281,97749137145,28840761269,362800525,1978,2688746,61.41,268.56,1.84
502.gcc_r,88061590744,1211283628,109507100740,29972633310,425034048,2189,3476156,61.02,255.69,1.84
502.gcc_r,96099611871,1341328745,120329257947,31005108576,502338056,2394,4353273,61.27,238.26,1.84
502.gcc_r,104063274935,1467256232,131358429442,32095110299,572317149,2610,5289714,61.44,228.22,1.83
